vortex_key	change_max_angle	contact_effect	damage	damage_ap	duration	expansion_speed	goal_radius	infinite_height	move_change_freq	movement_speed	start_radius	ignition_amount	is_magical	composite_scene	detonation_force	launch_source	building_collision	launch_vfx	height_off_ground	delay	num_vortexes	composite_scene_blood	affects_allies	launch_source_offset	composite_scene_group	delay_between_vortexes	is_spell	shape	start_height	goal_height	affects_enemies	follow_target
arb_wizard_caliph_spell_dream_lantern_upgraded	0	arb_wizard_caliph_spell_dream_lantern	0	0	2.0000	6.0000	12.0000	false	0.0000	24.0000	0.1000	0.0000	true	composite_scene/spells_and_abilities/arb_wizard_caliph_lantern_of_dreams.csc	0.0000	target_near_edge	1.ignore		0.0000	0.7000	1		true	24.0000		1.0000	true	circle	0.0000	0.0000	false	false
arb_wizard_caliph_spell_fury_of_elements	360		6	2	18.0000	-5.0000	7.0000	true	1.0000	4.0000	7.0000	0.0000	true	composite_scene/spells_and_abilities/arb_le_croisants.csc	40.0000	target_centre	1.ignore		0.1000	0.0000	5		true	0.0000		0.5000	true	circle	0.0000	0.0000	true	false
arb_wizard_caliph_spell_fury_of_elements_upgraded	360		6	2	18.0000	-5.0000	7.0000	true	1.0000	4.0000	7.0000	0.0000	true	composite_scene/spells_and_abilities/arb_le_croisants.csc	40.0000	target_centre	1.ignore		0.1000	0.0000	5		false	0.0000		0.5000	true	circle	0.0000	0.0000	true	false
magus_dust_devil	360		3	2	10.0000	-5.0000	8.0000	false	1.0000	4.0000	8.0000	0.0000	true	composite_scene/spells_and_abilities/magus_dust_devil.csc	40.0000	target_centre	1.ignore		0.1000	0.0000	1		true	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
ovn_arb_efreet_burning_wrath	360		14	4	10.0000	-20.0000	3.0000	false	0.1000	2.0000	3.0000	1.0000	true	composite_scene/spells_and_abilities/wh3_dlc23_burning_wrath_vortex.csc	200.0000	target_centre	1.ignore		0.0000	0.1000	1		true	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
ovn_arb_grand_bombard_ror_vortex	0		0	12	6.0000	-20.0000	7.0000	false	0.0000	0.0000	7.0000	1.0000	false	composite_scene\spells_and_abilities\wh3_dlc23_magma_cannon_vortex.csc	40.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	false	circle	0.0000	0.0000	true	false
ovn_genie_bound_spell_flames_of_wrath	0		24	6	2.0000	40.0000	5.0000	false	0.0000	40.0000	5.0000	1.0000	true	composite_scene/spells_and_abilities/ovn_genie_bound_spell_flames_of_wrath.csc	450.0000	target_near_edge	1.ignore		0.0000	0.0000	1		true	24.0000		1.0000	true	circle	0.0000	0.0000	true	false
ovn_genie_bound_spell_mistral	0		6	2	8.0000	0.0000	15.0000	true	0.0000	0.0000	15.0000	0.0000	true	composite_scene\spells_and_abilities\wh2_dlc15_abilities_wind_trap.csc	150.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
ovn_radiant_pegasus	0		22	10	1.0000	15.0000	15.0000	false	0.0000	0.0000	0.1000	1.0000	true	composite_scene\spells_and_abilities\wrath_of_ptra.csc	200.0000	target_centre	1.ignore		0.0000	0.8000	1		false	0.0000		1.0000	false	circle	0.0000	0.0000	true	false
ovn_spell_desert_burning_hands	0		22	0	2.0000	6.0000	12.0000	false	0.0000	24.0000	0.1000	1.0000	true	composite_scene\spells_and_abilities\wh2_main_abilities_sunfang.csc	150.0000	target_near_edge	1.ignore		0.0000	0.0000	1		true	24.0000		1.0000	true	circle	0.0000	0.0000	true	false
ovn_spell_desert_burning_hands_upgraded	0		22	11	2.0000	6.0000	12.0000	false	0.0000	24.0000	0.1000	1.0000	true	composite_scene\spells_and_abilities\wh2_main_abilities_sunfang.csc	150.0000	target_near_edge	1.ignore		0.0000	0.0000	1		true	24.0000		1.0000	true	circle	0.0000	0.0000	true	false
ovn_spell_desert_sandstorm	170		14	8	14.0000	22.0000	12.0000	true	1.0000	4.0000	12.0000	0.0000	true	composite_scene/spells_and_abilities/ovn_desert_sandstorm.csc	200.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
ovn_spell_desert_sandstorm_bound	170		14	8	14.0000	22.0000	12.0000	true	1.0000	4.0000	12.0000	0.0000	true	composite_scene/spells_and_abilities/ovn_desert_sandstorm.csc	200.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
ovn_spell_desert_sandstorm_upgraded	170		14	8	27.0000	22.0000	12.0000	true	1.0000	4.0000	12.0000	0.0000	true	composite_scene/spells_and_abilities/ovn_desert_sandstorm.csc	200.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
wh2_dlc12_army_abilities_great_invocation_of_djinn	0		24	66	1.7000	26.0000	10.0000	false	0.0000	105.0000	10.0000	0.0000	true	composite_scene/spells_and_abilities/invocation_of_djinn_impacts.csc	90.0000	target_near_edge	1.ignore		0.0000	2.5000	1		true	24.0000	wh2_dlc12_abilities_invocation_of_djinn	1.0000	true	circle	0.0000	0.0000	true	false
