id	incident_key	payload_key	value	target_key
7017900601	land_enc_incident_battle_won_incursion_vco	EFFECT_BUNDLE	KEY[land_enc_effect_battle_won_incursion_vco];DURATION[10]	default
7017900602	land_enc_incident_battle_avoided_incursion	EFFECT_BUNDLE	KEY[land_enc_effect_battle_avoided_incursion];DURATION[10]	default
7017900603	land_enc_incident_battle_won_surprise_bst	TREASURY	AMOUNT[1750]	default
7017900604	land_enc_incident_battle_won_surprise_bst	EFFECT_BUNDLE	KEY[land_enc_effect_battle_won_surprise_bst];DURATION[10]	default
7017900605	land_enc_incident_battle_won_surprise_skv	TREASURY	AMOUNT[1750]	default
7017900606	land_enc_incident_battle_won_surprise_skv	EFFECT_BUNDLE	KEY[land_enc_effect_battle_won_surprise_skv];DURATION[10]	default
7017900607	land_enc_incident_battle_avoided_surprise	EFFECT_BUNDLE	KEY[land_enc_effect_battle_avoided_surprise];DURATION[10]	default
7017900608	land_enc_incident_battle_won_battlefield_grn	TREASURY	AMOUNT[4000]	default
7017900609	land_enc_incident_battle_won_battlefield_grn	ADD_ANCILLARY	ANCILLARY_KEY[wh2_dlc17_anc_talisman_champions_essence]	default
7017900610	land_enc_incident_battle_won_battlefield_grn	ADD_ANCILLARY	ANCILLARY_KEY[wh2_dlc17_anc_armour_mutated_ghorgon_hide]	default
7017900611	land_enc_incident_battle_won_battlefield_def	TREASURY	AMOUNT[4000]	default
7017900612	land_enc_incident_battle_won_battlefield_def	ADD_ANCILLARY	ANCILLARY_KEY[wh2_main_anc_armour_shroud_of_death]	default
7017900613	land_enc_incident_battle_won_battlefield_def	ADD_ANCILLARY	ANCILLARY_KEY[wh2_main_anc_armour_skull_helmet]	default
7017900614	land_enc_incident_battle_won_battlefield_def	ADD_ANCILLARY	ANCILLARY_KEY[wh2_main_anc_enchanted_item_satchel_of_potions]	default
7017900615	land_enc_incident_battle_won_battlefield_vmp	TREASURY	AMOUNT[4000]	default
7017900616	land_enc_incident_battle_won_battlefield_vmp	ADD_ANCILLARY	ANCILLARY_KEY[wh2_dlc13_anc_arcane_item_amplifier]	default
7017900617	land_enc_incident_battle_won_battlefield_vmp	ADD_ANCILLARY	ANCILLARY_KEY[wh2_dlc17_anc_armour_cloak_of_unreality]	default
7017900618	land_enc_incident_battle_won_battlefield_tmb	TREASURY	AMOUNT[4000]	default
7017900619	land_enc_incident_battle_won_battlefield_tmb	ADD_ANCILLARY	ANCILLARY_KEY[wh2_dlc09_anc_enchanted_item_ouroboros]	default
7017900620	land_enc_incident_battle_won_battlefield_tmb	ADD_ANCILLARY	ANCILLARY_KEY[wh2_dlc09_anc_talisman_collar_of_shakkara]	default
7017900621	land_enc_incident_battle_won_battlefield_tmb	ADD_ANCILLARY	ANCILLARY_KEY[wh2_dlc09_anc_weapon_double_crescent_of_neru]	default
7017900622	land_enc_incident_battle_won_battlefield_dwf	TREASURY	AMOUNT[4000]	default
7017900623	land_enc_incident_battle_won_battlefield_dwf	ADD_ANCILLARY	ANCILLARY_KEY[wh_dlc13_anc_weapon_anguish_of_languille]	default
7017900624	land_enc_incident_battle_won_battlefield_dwf	ADD_ANCILLARY	ANCILLARY_KEY[wh2_dlc13_anc_talisman_stadsraad_key]	default
7017900625	land_enc_incident_battle_avoided_battlefield	EFFECT_BUNDLE	KEY[land_enc_effect_battle_avoided_battlefield];DURATION[10]	default
7017900626	land_enc_incident_battle_won_daemonic_gift_chainsword_granted	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_weapon_chainsword]	default
7017900627	land_enc_incident_battle_won_daemonic_gift_chainsword_already_granted	TREASURY	AMOUNT[6000]	default
7017900628	land_enc_incident_battle_won_daemonic_gift_chainsword_already_granted	EFFECT_BUNDLE	KEY[land_enc_effect_battle_won_daemonic_gift_khorne_already_granted];DURATION[5]	default
7017900629	land_enc_incident_battle_won_daemonic_gift_the_bane_spear_granted	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_weapon_the_bane_spear]	default
7017900630	land_enc_incident_battle_won_daemonic_gift_the_bane_spear_already_granted	TREASURY	AMOUNT[6000]	default
7017900633	land_enc_incident_battle_won_daemonic_gift_the_bane_spear_already_granted	EFFECT_BUNDLE	KEY[land_enc_effect_battle_won_daemonic_gift_khorne_already_granted];DURATION[5]	default
7017900634	land_enc_incident_battle_won_daemonic_gift_skars_kraken_killer_granted	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_weapon_skars_kraken_killer]	default
7017900635	land_enc_incident_battle_won_daemonic_gift_skars_kraken_killer_already_granted	TREASURY	AMOUNT[6000]	default
7017900636	land_enc_incident_battle_won_daemonic_gift_skars_kraken_killer_already_granted	EFFECT_BUNDLE	KEY[land_enc_effect_battle_won_daemonic_gift_khorne_already_granted];DURATION[5]	default
7017900637	land_enc_incident_battle_won_daemonic_gift_gilellions_soulnetter_granted	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_weapon_gilellions_soulnetter]	default
7017900638	land_enc_incident_battle_won_daemonic_gift_gilellions_soulnetter_already_granted	TREASURY	AMOUNT[6000]	default
7017900639	land_enc_incident_battle_won_daemonic_gift_gilellions_soulnetter_already_granted	EFFECT_BUNDLE	KEY[land_enc_effect_battle_won_daemonic_gift_khorne_already_granted];DURATION[5]	default
7017900640	land_enc_incident_battle_avoided_daemonic_gift_khorne	EFFECT_BUNDLE	KEY[land_enc_effect_battle_avoided_daemonic_gift_khorne];DURATION[10]	default
7017900641	land_enc_incident_battle_won_daemonic_gift_slaaneshs_blade_granted	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_weapon_slaaneshs_blade]	default
7017900642	land_enc_incident_battle_won_daemonic_gift_slaaneshs_blade_already_granted	TREASURY	AMOUNT[6000]	default
7017900643	land_enc_incident_battle_won_daemonic_gift_slaaneshs_blade_already_granted	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900644	land_enc_incident_battle_won_daemonic_gift_slaaneshs_blade_already_granted	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900645	land_enc_incident_battle_won_daemonic_gift_slaaneshs_blade_already_granted	EFFECT_BUNDLE	KEY[land_enc_effect_battle_won_daemonic_gift_slaanesh_already_granted];DURATION[5]	default
7017900646	land_enc_incident_battle_won_daemonic_gift_personal_sycophant_granted	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_follower_personal_sycophant]	default
7017900647	land_enc_incident_battle_won_daemonic_gift_personal_sycophant_already_granted	TREASURY	AMOUNT[6000]	default
7017900648	land_enc_incident_battle_won_daemonic_gift_personal_sycophant_already_granted	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900650	land_enc_incident_battle_won_daemonic_gift_personal_sycophant_already_granted	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900651	land_enc_incident_battle_won_daemonic_gift_personal_sycophant_already_granted	EFFECT_BUNDLE	KEY[land_enc_effect_battle_won_daemonic_gift_slaanesh_already_granted];DURATION[5]	default
7017900652	land_enc_incident_battle_won_daemonic_gift_dark_princes_paramour_granted	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_follower_the_dark_princes_paramour]	default
7017900653	land_enc_incident_battle_won_daemonic_gift_dark_princes_paramour_already_granted	TREASURY	AMOUNT[6000]	default
7017900654	land_enc_incident_battle_won_daemonic_gift_dark_princes_paramour_already_granted	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900655	land_enc_incident_battle_won_daemonic_gift_dark_princes_paramour_already_granted	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900656	land_enc_incident_battle_won_daemonic_gift_dark_princes_paramour_already_granted	EFFECT_BUNDLE	KEY[land_enc_effect_battle_won_daemonic_gift_slaanesh_already_granted];DURATION[5]	default
7017900657	land_enc_incident_battle_avoided_daemonic_gift_slaanesh	EFFECT_BUNDLE	KEY[land_enc_effect_battle_avoided_daemonic_gift_slaanesh];DURATION[10]	default
7017900658	land_enc_incident_clean_up_event	TREASURY	AMOUNT[500]	default
7017900659	land_enc_incident_clean_up_event	CHARACTER_EXPERIENCE	AMOUNT[500]	default
7017900660	land_enc_incident_battle_clean_up_event	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900661	land_enc_incident_battle_clean_up_event	EFFECT_BUNDLE	KEY[land_enc_effect_battle_clean_up_event];DURATION[10]	default
7017900662	land_enc_incident_smithy_tribute	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
