id	incident_key	option_key	value	target
7017900643	land_enc_incident_battle_avoided_daemonic_gift_khorne	GEN_TARGET_MODEL		default
7017900644	land_enc_incident_battle_won_daemonic_gift_slaaneshs_blade	VAR_CHANCE	100	default
7017900645	land_enc_incident_battle_won_daemonic_gift_slaaneshs_blade	GEN_TARGET_MODEL		default
7017900646	land_enc_incident_battle_won_daemonic_gift_slaaneshs_blade_granted	VAR_CHANCE	100	default
7017900647	land_enc_incident_battle_won_daemonic_gift_slaaneshs_blade_granted	GEN_TARGET_MODEL		default
7017900648	land_enc_incident_battle_won_daemonic_gift_slaaneshs_blade_already_granted	VAR_CHANCE	100	default
7017900649	land_enc_incident_battle_won_daemonic_gift_slaaneshs_blade_already_granted	GEN_TARGET_MODEL		default
7017900650	land_enc_incident_battle_won_daemonic_gift_personal_sycophant	VAR_CHANCE	100	default
7017900651	land_enc_incident_battle_won_daemonic_gift_personal_sycophant	GEN_TARGET_MODEL		default
7017900652	land_enc_incident_battle_won_daemonic_gift_personal_sycophant_granted	VAR_CHANCE	100	default
7017900653	land_enc_incident_battle_won_daemonic_gift_personal_sycophant_granted	GEN_TARGET_MODEL		default
7017900654	land_enc_incident_battle_won_daemonic_gift_personal_sycophant_already_granted	VAR_CHANCE	100	default
7017900655	land_enc_incident_battle_won_daemonic_gift_personal_sycophant_already_granted	GEN_TARGET_MODEL		default
7017900656	land_enc_incident_battle_won_daemonic_gift_dark_princes_paramour	VAR_CHANCE	100	default
7017900657	land_enc_incident_battle_won_daemonic_gift_dark_princes_paramour	GEN_TARGET_MODEL		default
7017900658	land_enc_incident_battle_won_daemonic_gift_dark_princes_paramour_granted	VAR_CHANCE	100	default
7017900659	land_enc_incident_battle_won_daemonic_gift_dark_princes_paramour_granted	GEN_TARGET_MODEL		default
7017900660	land_enc_incident_battle_won_daemonic_gift_dark_princes_paramour_already_granted	VAR_CHANCE	100	default
7017900661	land_enc_incident_battle_won_daemonic_gift_dark_princes_paramour_already_granted	GEN_TARGET_MODEL		default
7017900662	land_enc_incident_battle_avoided_daemonic_gift_slaanesh	VAR_CHANCE	100	default
7017900663	land_enc_incident_battle_avoided_daemonic_gift_slaanesh	GEN_TARGET_MODEL		default
7017900664	land_enc_incident_clean_up_event	VAR_CHANCE	100	default
7017900665	land_enc_incident_clean_up_event	GEN_TARGET_MODEL		default
7017900666	land_enc_incident_battle_clean_up_event	VAR_CHANCE	100	default
7017900667	land_enc_incident_battle_clean_up_event	GEN_TARGET_MODEL		default
7017900668	land_enc_incident_smithy_tribute	VAR_CHANCE	100	default
7017909069	land_enc_incident_smithy_tribute	GEN_TARGET_MODEL		default
