key	engine_type	model	gun_animation_table	missile_weapon	destruction_animation	destroyed_model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale	crew_reserve_distance_offset
cth_pianxiangche	Generic_No_Crew_Fixed	cth_pianxiangche	wm_dlc13_wagon01		cth_grand_cannon_destruct	warmachines/chariot/cth_pianxiangche/cth_pianxiangche_01_canhai.rigid_model_v2	cth_pianxiangche			ap_draughtposition	warmachines/chariot/cth_pianxiangche/tech		warmachines/chariot/cth_pianxiangche/cth_pianxiangche_01.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000	0
cth_pianxiangche_fulangji	Generic_No_Crew_Fixed	cth_pianxiangche_fulangji	wm_dlc13_wagon01		cth_grand_cannon_destruct	warmachines/chariot/cth_pianxiangche/cth_pianxiangche_01_canhai.rigid_model_v2	cth_pianxiangche			ap_draughtposition	warmachines/chariot/cth_pianxiangche/tech		warmachines/chariot/cth_pianxiangche/cth_pianxiangche_01.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000	0
cth_pianxiangche_light	Generic_No_Crew_Fixed	cth_pianxiangche_light	wm_dlc13_wagon01		cth_grand_cannon_destruct	warmachines/chariot/cth_light_pianxiangche/cth_pianxiangche_01_canhai.rigid_model_v2	cth_pianxiangche			ap_draughtposition	warmachines/chariot/cth_light_pianxiangche/tech		warmachines/chariot/cth_light_pianxiangche/cth_pianxiangche_01.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000	0
cth_pianxiangche_light_light	Generic_No_Crew_Fixed	cth_pianxiangche_light_light	wm_dlc13_wagon01		cth_grand_cannon_destruct	warmachines/chariot/cth_light_light_pianxiangche/cth_pianxiangche_light_light_canhai.rigid_model_v2	cth_pianxiangche			ap_draughtposition	warmachines/chariot/cth_light_light_pianxiangche/tech		warmachines/chariot/cth_light_light_pianxiangche/cth_pianxiangche_light_light.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000	0
cth_pianxiangche_light_light_zhendi	Generic_No_Crew_Fixed	cth_pianxiangche_light_light_zhendi	cth_pianxiangche_zhendi		cth_grand_cannon_destruct	warmachines/chariot/cth_light_light_pianxiangche/cth_pianxiangche_light_light_zhendi_canhai.rigid_model_v2	cth_pianxiangche_zhendi			ap_draughtposition	warmachines/chariot/cth_light_light_pianxiangche_zhendi/tech		warmachines/chariot/cth_light_light_pianxiangche_zhendi/cth_pianxiangche_light_light_zhendi.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000	0
cth_pianxiangche_light_zhendi	Generic_No_Crew_Fixed	cth_pianxiangche_light_zhendi	cth_pianxiangche_zhendi		cth_grand_cannon_destruct	warmachines/chariot/cth_light_pianxiangche/cth_pianxiangche_light_zhendi_canhai.rigid_model_v2	cth_pianxiangche_zhendi			ap_draughtposition	warmachines/chariot/cth_light_pianxiangche_zhendi/tech		warmachines/chariot/cth_light_pianxiangche_zhendi/cth_pianxiangche_light_zhendi.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000	0
cth_pianxiangche_zhendi	Generic_No_Crew_Fixed	cth_pianxiangche_zhendi	cth_pianxiangche_zhendi		cth_grand_cannon_destruct	warmachines/chariot/cth_pianxiangche/cth_pianxiangche_zhendi_canhai.rigid_model_v2	cth_pianxiangche_zhendi			ap_draughtposition	warmachines/chariot/cth_pianxiangche_zhendi/tech		warmachines/chariot/cth_pianxiangche_zhendi/cth_pianxiangche_zhendi.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000	0
cth_pinfengche	Generic_3_Crew	cth_pinfengche	cth_pinfengche	wh3_main_cth_pinfengche_cannon	cth_grand_cannon_destruct	warmachines/chariot/cth_pinfengche/cth_pinfengche_canhai.rigid_model_v2	wh3_main_cth_pinfengche			ap_draughtposition	warmachines/chariot/cth_pinfengche/tech		warmachines/chariot/cth_pinfengche/cth_pinfengche.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0200	0
cth_wankouchong	Generic_2_Crew	cth_wankouchong	cth_wankouchong	wh3_main_cth_wankouchong	dwf_cannon_destruct	warmachines/engines/cth_wankouchong/cth_wankouchong_canhai.rigid_model_v2	cth_paobing1									war_machine_metal	all_riders_shooting	0.9524	0
cth_zhongxingzizhongche_01	Generic_No_Crew_Fixed	cth_zhongxingzizhongche_01	wm_dlc13_wagon01		cth_grand_cannon_destruct	warmachines/chariot/cth_zizhongche/cth_zizhongche_01_canhai.rigid_model_v2	wh2_dlc13_vehicle_war_wagon			ap_draughtposition	warmachines/chariot/cth_zhongxingzizhongche01/tech		warmachines/chariot/cth_zhongxingzizhongche01/cth_zhongxingzizhongche_01.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000	0
cth_zizhongche	Generic_No_Crew_Fixed	cth_zizhongche	wm_dlc13_wagon01		cth_grand_cannon_destruct	warmachines/chariot/cth_zizhongche/cth_zizhongche_01_canhai.rigid_model_v2	wh2_dlc13_vehicle_war_wagon			ap_draughtposition	warmachines/chariot/cth_zizhongche/tech		warmachines/chariot/cth_zizhongche/cth_zizhongche_01.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000	0
