id	dilemma_key	option_key	value	target
7017900602	land_enc_dilemma_battlefield_def	GEN_TARGET_NONE		default
7017900603	land_enc_dilemma_battlefield_def	VAR_CHANCE	100	default
7017900604	land_enc_dilemma_battlefield_def	VAR_FOLLOWUP_CHANCE	100	default
7017900605	land_enc_dilemma_battlefield_vmp	GEN_TARGET_NONE		default
7017900606	land_enc_dilemma_battlefield_vmp	VAR_CHANCE	100	default
7017900607	land_enc_dilemma_battlefield_vmp	VAR_FOLLOWUP_CHANCE	100	default
7017900608	land_enc_dilemma_battlefield_tmb	GEN_TARGET_NONE		default
7017900609	land_enc_dilemma_battlefield_tmb	VAR_CHANCE	100	default
7017900610	land_enc_dilemma_battlefield_tmb	VAR_FOLLOWUP_CHANCE	100	default
7017900611	land_enc_dilemma_battlefield_dwf	GEN_TARGET_NONE		default
7017900612	land_enc_dilemma_battlefield_dwf	VAR_CHANCE	100	default
7017900613	land_enc_dilemma_battlefield_dwf	VAR_FOLLOWUP_CHANCE	100	default
7017900614	land_enc_dilemma_daemonic_gift_chainsword	GEN_TARGET_NONE		default
7017900615	land_enc_dilemma_daemonic_gift_chainsword	VAR_CHANCE	100	default
7017900616	land_enc_dilemma_daemonic_gift_chainsword	VAR_FOLLOWUP_CHANCE	100	default
7017900617	land_enc_dilemma_daemonic_gift_the_bane_spear	GEN_TARGET_NONE		default
7017900618	land_enc_dilemma_daemonic_gift_the_bane_spear	VAR_CHANCE	100	default
7017900619	land_enc_dilemma_daemonic_gift_the_bane_spear	VAR_FOLLOWUP_CHANCE	100	default
7017900620	land_enc_dilemma_daemonic_gift_skars_kraken_killer	GEN_TARGET_NONE		default
7017900621	land_enc_dilemma_daemonic_gift_skars_kraken_killer	VAR_CHANCE	100	default
7017900622	land_enc_dilemma_daemonic_gift_skars_kraken_killer	VAR_FOLLOWUP_CHANCE	100	default
7017900623	land_enc_dilemma_daemonic_gift_gilellions_soulnetter	GEN_TARGET_NONE		default
7017900624	land_enc_dilemma_daemonic_gift_gilellions_soulnetter	VAR_CHANCE	100	default
7017900625	land_enc_dilemma_daemonic_gift_gilellions_soulnetter	VAR_FOLLOWUP_CHANCE	100	default
7017900626	land_enc_dilemma_daemonic_gift_slaaneshs_blade	GEN_TARGET_NONE		default
7017900627	land_enc_dilemma_daemonic_gift_slaaneshs_blade	VAR_CHANCE	100	default
7017900628	land_enc_dilemma_daemonic_gift_slaaneshs_blade	VAR_FOLLOWUP_CHANCE	100	default
7017900629	land_enc_dilemma_daemonic_gift_personal_sycophant	GEN_TARGET_NONE		default
7017900630	land_enc_dilemma_daemonic_gift_personal_sycophant	VAR_CHANCE	100	default
7017900631	land_enc_dilemma_daemonic_gift_personal_sycophant	VAR_FOLLOWUP_CHANCE	100	default
7017900632	land_enc_dilemma_daemonic_gift_dark_princes_paramour	GEN_TARGET_NONE		default
7017900633	land_enc_dilemma_daemonic_gift_dark_princes_paramour	VAR_CHANCE	100	default
7017900634	land_enc_dilemma_daemonic_gift_dark_princes_paramour	VAR_FOLLOWUP_CHANCE	100	default
7017900635	land_enc_dilemma_caravans_cathay	GEN_TARGET_NONE		default
7017900636	land_enc_dilemma_caravans_cathay	VAR_CHANCE	100	default
7017900637	land_enc_dilemma_caravans_cathay	VAR_FOLLOWUP_CHANCE	100	default
7017900638	land_enc_dilemma_caravans_chads	GEN_TARGET_NONE		default
7017900639	land_enc_dilemma_caravans_chads	VAR_CHANCE	100	default
7017900640	land_enc_dilemma_caravans_chads	VAR_FOLLOWUP_CHANCE	100	default
7017900641	land_enc_dilemma_smithy_reclamation	GEN_TARGET_NONE		default
7017900642	land_enc_dilemma_smithy_reclamation	VAR_CHANCE	100	default
7017900643	land_enc_dilemma_smithy_reclamation	VAR_FOLLOWUP_CHANCE	100	default
7017900644	land_enc_dilemma_smithy_defense	GEN_TARGET_NONE		default
7017900645	land_enc_dilemma_smithy_defense	VAR_CHANCE	100	default
7017900646	land_enc_dilemma_smithy_defense	VAR_FOLLOWUP_CHANCE	100	default
7017900647	land_enc_dilemma_smithy_visit_level_1	GEN_TARGET_NONE		default
7017900648	land_enc_dilemma_smithy_visit_level_1	VAR_CHANCE	100	default
7017900649	land_enc_dilemma_smithy_visit_level_1	VAR_FOLLOWUP_CHANCE	100	default
7017900650	land_enc_dilemma_smithy_visit_level_2	GEN_TARGET_NONE		default
7017900651	land_enc_dilemma_smithy_visit_level_2	VAR_CHANCE	100	default
7017900652	land_enc_dilemma_smithy_visit_level_2	VAR_FOLLOWUP_CHANCE	100	default
7017900653	land_enc_dilemma_smithy_visit_level_3	GEN_TARGET_NONE		default
7017900654	land_enc_dilemma_smithy_visit_level_3	VAR_CHANCE	100	default
7017900655	land_enc_dilemma_smithy_visit_level_3	VAR_FOLLOWUP_CHANCE	100	default
