id	choice_key	dilemma_key	payload_key	value	target_key
7017900574	FIRST	land_enc_dilemma_bandits_wef	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900575	SECOND	land_enc_dilemma_bandits_wef	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900576	FIRST	land_enc_dilemma_bandits_nor	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900577	SECOND	land_enc_dilemma_bandits_nor	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900578	FIRST	land_enc_dilemma_bandits_chads	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900579	SECOND	land_enc_dilemma_bandits_chads	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900580	FIRST	land_enc_dilemma_incursion_army_hef	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900581	SECOND	land_enc_dilemma_incursion_army_hef	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900582	FIRST	land_enc_dilemma_incursion_army_lzd	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900583	SECOND	land_enc_dilemma_incursion_army_lzd	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900584	FIRST	land_enc_dilemma_incursion_army_vco	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900585	SECOND	land_enc_dilemma_incursion_army_vco	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900586	FIRST	land_enc_dilemma_surprise_attack_bst	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900587	SECOND	land_enc_dilemma_surprise_attack_bst	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900588	FIRST	land_enc_dilemma_surprise_attack_skv	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900589	SECOND	land_enc_dilemma_surprise_attack_skv	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900590	FIRST	land_enc_dilemma_battlefield_grn	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900591	SECOND	land_enc_dilemma_battlefield_grn	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900592	FIRST	land_enc_dilemma_battlefield_def	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900593	SECOND	land_enc_dilemma_battlefield_def	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900594	FIRST	land_enc_dilemma_battlefield_vmp	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900595	SECOND	land_enc_dilemma_battlefield_vmp	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900596	FIRST	land_enc_dilemma_battlefield_tmb	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900597	SECOND	land_enc_dilemma_battlefield_tmb	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900598	FIRST	land_enc_dilemma_battlefield_dwf	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900599	SECOND	land_enc_dilemma_battlefield_dwf	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900600	FIRST	land_enc_dilemma_daemonic_gift_chainsword	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900601	SECOND	land_enc_dilemma_daemonic_gift_chainsword	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900602	FIRST	land_enc_dilemma_daemonic_gift_the_bane_spear	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900603	SECOND	land_enc_dilemma_daemonic_gift_the_bane_spear	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900604	FIRST	land_enc_dilemma_daemonic_gift_skars_kraken_killer	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900605	SECOND	land_enc_dilemma_daemonic_gift_skars_kraken_killer	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900606	FIRST	land_enc_dilemma_daemonic_gift_gilellions_soulnetter	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900607	SECOND	land_enc_dilemma_daemonic_gift_gilellions_soulnetter	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900608	FIRST	land_enc_dilemma_daemonic_gift_slaaneshs_blade	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900609	SECOND	land_enc_dilemma_daemonic_gift_slaaneshs_blade	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900610	FIRST	land_enc_dilemma_daemonic_gift_personal_sycophant	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900611	SECOND	land_enc_dilemma_daemonic_gift_personal_sycophant	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900612	FIRST	land_enc_dilemma_daemonic_gift_dark_princes_paramour	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900613	SECOND	land_enc_dilemma_daemonic_gift_dark_princes_paramour	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900614	FIRST	land_enc_dilemma_caravans_cathay	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900615	SECOND	land_enc_dilemma_caravans_cathay	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900616	FIRST	land_enc_dilemma_caravans_chads	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900617	SECOND	land_enc_dilemma_caravans_chads	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900618	FIRST	land_enc_dilemma_smithy_reclamation	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900619	SECOND	land_enc_dilemma_smithy_reclamation	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900620	FIRST	land_enc_dilemma_smithy_defense	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900621	SECOND	land_enc_dilemma_smithy_defense	TEXT_DISPLAY	LOOKUP[smithy_unconditional_surrender]	default
7017900622	FIRST	land_enc_dilemma_smithy_visit_level_1	TREASURY	AMOUNT[-10000]	default
7017900623	SECOND	land_enc_dilemma_smithy_visit_level_1	ADD_ANCILLARY	ANCILLARY_KEY[wh_main_anc_talisman_talisman_of_protection]	default
7017900624	THIRD	land_enc_dilemma_smithy_visit_level_1	ADD_ANCILLARY	ANCILLARY_KEY[wh_main_anc_enchanted_item_potion_of_toughness]	default
7017900625	FOURTH	land_enc_dilemma_smithy_visit_level_1	ADD_ANCILLARY	ANCILLARY_KEY[wh_main_anc_armour_glittering_scales]	default
7017900626	FIFTH	land_enc_dilemma_smithy_visit_level_1	ADD_ANCILLARY	ANCILLARY_KEY[wh_main_anc_arcane_item_power_stone]	default
7017900627	FIRST	land_enc_dilemma_smithy_visit_level_2	TREASURY	AMOUNT[-20000]	default
7017900628	SECOND	land_enc_dilemma_smithy_visit_level_2	ADD_ANCILLARY	ANCILLARY_KEY[wh_main_anc_talisman_talisman_of_endurance]	default
7017900629	THIRD	land_enc_dilemma_smithy_visit_level_2	ADD_ANCILLARY	ANCILLARY_KEY[wh_main_anc_enchanted_item_healing_potion]	default
7017900630	FOURTH	land_enc_dilemma_smithy_visit_level_2	ADD_ANCILLARY	ANCILLARY_KEY[wh_main_anc_armour_armour_of_fortune]	default
7017900631	FIFTH	land_enc_dilemma_smithy_visit_level_2	ADD_ANCILLARY	ANCILLARY_KEY[wh_main_anc_arcane_item_forbidden_rod]	default
7017900632	FIRST	land_enc_dilemma_smithy_visit_level_3	ADD_ANCILLARY	ANCILLARY_KEY[wh_main_anc_talisman_talisman_of_preservation]	default
7017900633	SECOND	land_enc_dilemma_smithy_visit_level_3	ADD_ANCILLARY	ANCILLARY_KEY[wh_main_anc_enchanted_item_the_other_tricksters_shard]	default
7017900634	THIRD	land_enc_dilemma_smithy_visit_level_3	ADD_ANCILLARY	ANCILLARY_KEY[wh_main_anc_armour_armour_of_destiny]	default
7017900635	FOURTH	land_enc_dilemma_smithy_visit_level_3	ADD_ANCILLARY	ANCILLARY_KEY[wh_main_anc_weapon_obsidian_blade]	default
7017900636	FIFTH	land_enc_dilemma_smithy_visit_level_3	ADD_ANCILLARY	ANCILLARY_KEY[wh_main_anc_arcane_item_book_of_ashur]	default
