trait_level	effect	effect_scope	value
land_encounters_trait_skirmisher_ogr_tyr_1	wh_main_effect_character_stat_unit_health	character_to_character_own	8.0000
land_encounters_trait_skirmisher_ogr_tyr_1	wh_main_effect_ability_enable_foe-seeker	character_to_character_own	1.0000
land_encounters_trait_skirmisher_nur_1	wh3_main_effect_ability_enable_blight_swarm	character_to_character_own	1.0000
land_encounters_trait_skirmisher_nur_1	wh_main_effect_ability_enable_stand_or_die	character_to_character_own	1.0000
land_encounters_trait_skirmisher_tze_1	wh3_main_effect_ability_enable_infernal_gateway	character_to_character_own	1.0000
land_encounters_trait_skirmisher_tze_1	wh_main_effect_ability_enable_arcane_conduit	character_to_character_own	1.0000
land_encounters_trait_skirmisher_tze_1	wh_main_effect_force_stat_melee_attack	general_to_force_own	5.0000
land_encounters_trait_underground_cth_1	wh_main_effect_ability_enable_stand_or_die	character_to_character_own	1.0000
land_encounters_trait_underground_cth_1	wh_main_effect_character_stat_magic_resistance	character_to_character_own	10.0000
land_encounters_trait_underground_cth_1	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000
land_encounters_trait_underground_cth_1	wh3_main_effect_ability_enable_wall_of_wind_and_fire	character_to_character_own	1.0000
land_encounters_trait_underground_cth_1	wh3_main_effect_ability_cooldown_wall_of_wind_and_fire	character_to_character_own	-30.0000
land_encounters_trait_underground_cth_1	wh3_main_effect_ability_overcast_wall_of_wind_and_fire	character_to_character_own	1.0000
land_encounters_trait_underground_cth_1	wh_main_effect_ability_enable_evasion	character_to_character_own	1.0000
land_encounters_trait_underground_cth_1	wh3_main_effect_ability_enable_might_of_heaven_and_earth	character_to_character_own	1.0000
land_encounters_trait_underground_kis_1	wh_main_effect_ability_enable_stand_your_ground	character_to_character_own	1.0000
land_encounters_trait_underground_kis_1	wh_main_effect_force_stat_melee_attack	general_to_force_own	2.0000
land_encounters_trait_underground_kis_1	wh_main_effect_ability_enable_foe-seeker	character_to_character_own	1.0000
land_encounters_trait_underground_kis_1	wh_main_effect_character_stat_unit_health	character_to_character_own	15.0000
land_encounters_trait_underground_ogr_1	wh_main_effect_force_stat_melee_attack	general_to_force_own	4.0000
land_encounters_trait_underground_ogr_1	wh_main_effect_character_stat_unit_health	character_to_character_own	15.0000
land_encounters_trait_underground_ogr_1	wh_main_effect_ability_enable_foe-seeker	character_to_character_own	1.0000
land_encounters_trait_underground_tze_1	wh3_main_effect_ability_enable_tzeentch_tzeentchs_firestorm	character_to_character_own	1.0000
land_encounters_trait_underground_tze_1	wh3_main_effect_ability_cooldown_tzeentchs_firestorm	character_to_character_own	-30.0000
land_encounters_trait_underground_tze_1	wh3_main_effect_ability_overcast_tzeentchs_firestorm	character_to_character_own	1.0000
land_encounters_trait_underground_tze_1	wh_main_effect_ability_enable_arcane_conduit	character_to_character_own	1.0000
land_encounters_trait_underground_tze_1	wh_main_effect_force_stat_melee_attack	general_to_force_own	3.0000
land_encounters_trait_bandit_lord_emp_1	wh2_dlc11_effect_force_stat_ammunition_emp_artillery	general_to_force_own	20.0000
land_encounters_trait_bandit_lord_emp_1	wh2_dlc11_effect_force_stat_missile_damage_emp_artillery	general_to_force_own	8.0000
land_encounters_trait_bandit_lord_emp_1	wh_main_effect_character_stat_melee_attack	character_to_character_own	12.0000
land_encounters_trait_bandit_hunt_emp_1	wh_main_effect_force_stat_missile_damage	general_to_force_own	8.0000
land_encounters_trait_bandit_hunt_emp_1	wh_main_effect_force_stat_speed	general_to_force_own	12.0000
land_encounters_trait_bandit_hunt_emp_1	wh_main_effect_force_stat_melee_defence	general_to_force_own	4.0000
land_encounters_trait_bandit_lord_wef_1	wh_main_effect_attribute_enable_stalk	character_to_character_own	1.0000
land_encounters_trait_bandit_lord_wef_1	wh_main_effect_force_stat_missile_damage	general_to_force_own	8.0000
land_encounters_trait_bandit_lord_wef_1	wh_main_effect_ability_enable_foe-seeker	character_to_character_own	1.0000
land_encounters_trait_bandit_spell_wef_1	wh_dlc05_effect_ability_enable_awakening_of_the_wood	character_to_character_own	1.0000
land_encounters_trait_bandit_spell_wef_1	wh_dlc05_effect_ability_cooldown_awakening_of_the_wood	character_to_character_own	-30.0000
land_encounters_trait_bandit_spell_wef_1	wh2_main_effect_ability_wom_cost_awakening_of_the_wood	character_to_character_own	-1.0000
land_encounters_trait_bandit_spell_wef_1	wh2_main_effect_ability_overcast_regrowth	character_to_character_own	1.0000
land_encounters_trait_bandit_spell_wef_1	wh_dlc05_effect_ability_cooldown_regrowth	character_to_character_own	-30.0000
land_encounters_trait_bandit_spell_wef_1	wh_dlc05_effect_ability_enable_regrowth	character_to_character_own	1.0000
land_encounters_trait_bandit_spell_wef_1	wh2_main_effect_ability_miscast_regrowth_upgraded	character_to_character_own	-15.0000
land_encounters_trait_bandit_spell_wef_1	wh_main_effect_ability_enable_arcane_conduit	character_to_character_own	1.0000
land_encounters_trait_bandit_chief_nor_1	wh_main_effect_force_stat_melee_attack	general_to_force_own	8.0000
land_encounters_trait_bandit_chief_nor_1	wh_main_effect_force_stat_speed	general_to_force_own	12.0000
land_encounters_trait_bandit_chief_nor_1	wh_main_effect_ability_enable_stand_or_die	character_to_character_own	1.0000
land_encounters_trait_bandit_chief_nor_1	wh3_main_pro_effect_ability_enable_heroic_killing_blow_2	character_to_character_own	1.0000
land_encounters_trait_bandit_lord_chads_1	wh_main_effect_force_stat_melee_attack	general_to_force_own	12.0000
land_encounters_trait_bandit_lord_chads_1	wh_main_effect_ability_enable_stand_or_die	character_to_character_own	1.0000
land_encounters_trait_bandit_lord_chads_1	wh_main_effect_force_stat_melee_defence	general_to_force_own	6.0000
land_encounters_trait_incursion_arch_hef_1	wh_main_effect_character_stat_ward_save	character_to_character_own	10.0000
land_encounters_trait_incursion_arch_hef_1	wh2_main_effect_ability_overcast_regrowth	character_to_character_own	1.0000
land_encounters_trait_incursion_arch_hef_1	wh_dlc05_effect_ability_cooldown_regrowth	character_to_character_own	-30.0000
land_encounters_trait_incursion_arch_hef_1	wh_dlc05_effect_ability_enable_regrowth	character_to_character_own	1.0000
land_encounters_trait_incursion_arch_hef_1	wh2_main_effect_ability_miscast_regrowth_upgraded	character_to_character_own	-15.0000
land_encounters_trait_incursion_arch_hef_1	wh2_main_effect_ability_wom_cost_regrowth	character_to_character_own	-3.0000
land_encounters_trait_incursion_arch_hef_1	wh2_main_effect_ability_overcast_dwellers_below	character_to_character_own	1.0000
land_encounters_trait_incursion_arch_hef_1	wh_dlc05_effect_ability_cooldown_the_dwellers_below	character_to_character_own	-30.0000
land_encounters_trait_incursion_arch_hef_1	wh_dlc05_effect_ability_enable_the_dwellers_below	character_to_character_own	1.0000
land_encounters_trait_incursion_arch_hef_1	wh2_main_effect_ability_miscast_dwellers_below_upgraded	character_to_character_own	-15.0000
land_encounters_trait_incursion_arch_hef_1	wh2_main_effect_ability_wom_cost_dwellers_below_upgraded	character_to_character_own	-6.0000
land_encounters_trait_incursion_arch_hef_1	wh_dlc08_effect_ability_enable_greater_arcane_conduit	character_to_character_own	1.0000
land_encounters_trait_incursion_arch_hef_1	wh_main_effect_ability_enable_evasion	character_to_character_own	1.0000
land_encounters_trait_incursion_arch_hef_1	wh_main_effect_force_stat_missile_damage	general_to_force_own	8.0000
land_encounters_trait_incursion_arch_hef_1	wh_main_effect_force_stat_speed	general_to_force_own	12.0000
land_encounters_trait_incursion_elt_hef_1	wh2_dlc15_effect_ability_enable_mistwalker_barrage	character_to_character_own	1.0000
land_encounters_trait_incursion_elt_hef_1	wh2_dlc15_hef_melee_defence_spear_infantry_rangers	general_to_force_own	8.0000
land_encounters_trait_incursion_elt_hef_1	wh2_dlc15_hef_morale_spear_infantry_rangers	general_to_force_own	8.0000
land_encounters_trait_incursion_elt_hef_1	wh2_main_effect_attribute_enable_causes_fear_vs_grn	general_to_force_own	1.0000
land_encounters_trait_incursion_elt_hef_1	wh_main_effect_force_stat_armour_defending	general_to_force_own	15.0000
land_encounters_trait_incursion_elt_hef_1	wh2_dlc15_effect_ability_cooldown_mistwalker_barrage	character_to_character_own	-50.0000
land_encounters_trait_incursion_elt_hef_1	wh_main_effect_force_stat_leadership_enemy_unit	general_to_force_enemy_regionwide	-8.0000
land_encounters_trait_incursion_elt_hef_1	wh2_dlc15_effect_ability_enable_unending_volley	general_to_force_own	1.0000
land_encounters_trait_incursion_elt_hef_1	wh2_dlc15_effect_force_unit_stat_armour_hef_shields	general_to_force_own	10.0000
land_encounters_trait_incursion_elt_hef_1	wh2_dlc15_effect_ability_disable_hef_passives	general_to_force_own	1.0000
land_encounters_trait_incursion_elt_hef_1	wh2_dlc15_effect_ability_enable_grim_discipline	general_to_force_own	1.0000
land_encounters_trait_incursion_elt_hef_1	wh_main_effect_attribute_enable_expert_charge_defence	general_to_force_own	1.0000
land_encounters_trait_incursion_elt_hef_1	wh2_dlc15_effect_ability_enable_wardens_stand	character_to_character_own	1.0000
land_encounters_trait_incursion_elt_hef_1	wh2_main_effect_ability_cooldown_fiery_convocation	character_to_character_own	-30.0000
land_encounters_trait_incursion_elt_hef_1	wh2_main_effect_ability_enable_fiery_convocation	character_to_character_own	1.0000
land_encounters_trait_incursion_elt_hef_1	wh2_main_effect_ability_overcast_fiery_convocation	character_to_character_own	1.0000
land_encounters_trait_incursion_elt_hef_1	wh2_main_effect_ability_miscast_fiery_convocation_upgraded	character_to_character_own	-15.0000
land_encounters_trait_incursion_elt_hef_1	wh2_main_effect_ability_wom_cost_fiery_convocation	character_to_character_own	-8.0000
land_encounters_trait_incursion_elt_hef_1	wh2_main_effect_ability_enable_arcane_unforging	character_to_character_own	1.0000
land_encounters_trait_incursion_elt_hef_1	wh2_main_effect_ability_cooldown_arcane_unforging	character_to_character_own	-30.0000
land_encounters_trait_incursion_elt_hef_1	wh2_main_effect_ability_overcast_arcane_unforging	character_to_character_own	1.0000
land_encounters_trait_incursion_elt_hef_1	wh2_main_effect_ability_miscast_arcane_unforging_upgraded	character_to_character_own	-15.0000
land_encounters_trait_incursion_elt_hef_1	wh2_main_effect_ability_wom_cost_arcane_unforging	character_to_character_own	-6.0000
land_encounters_trait_incursion_sau_lzd_1	wh_main_effect_ability_enable_deadly_onslaught	character_to_character_own	1.0000
land_encounters_trait_incursion_sau_lzd_1	wh_main_effect_ability_enable_foe-seeker	character_to_character_own	1.0000
land_encounters_trait_incursion_sau_lzd_1	wh_main_effect_character_stat_magic_resistance	character_to_character_own	30.0000
land_encounters_trait_incursion_sau_lzd_1	wh_main_effect_force_stat_speed	general_to_force_own	8.0000
land_encounters_trait_incursion_sau_lzd_1	wh_main_effect_force_stat_melee_defence	general_to_force_own	8.0000
land_encounters_trait_incursion_sau_lzd_1	wh_main_effect_ability_enable_stand_your_ground	character_to_character_own	1.0000
land_encounters_trait_incursion_tik_lzd_1	wh_main_effect_ability_enable_deadly_onslaught	character_to_character_own	1.0000
land_encounters_trait_incursion_tik_lzd_1	wh_main_effect_ability_enable_foe-seeker	character_to_character_own	1.0000
land_encounters_trait_incursion_tik_lzd_1	wh2_dlc12_effect_force_stat_melee_attack_foreign_territory	force_to_force_own_lords_army	10.0000
land_encounters_trait_incursion_tik_lzd_1	wh2_dlc12_effect_ability_enable_drop_sphere_of_tepok_upgraded	character_to_character_own	1.0000
land_encounters_trait_incursion_tik_lzd_1	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	15.0000
land_encounters_trait_incursion_tik_lzd_1	wh_main_effect_character_stat_unit_health	character_to_character_own	8.0000
land_encounters_trait_incursion_tik_lzd_1	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0000
land_encounters_trait_incursion_tik_lzd_1	wh2_dlc12_effect_ability_enable_master_of_skies	character_to_character_own	1.0000
land_encounters_trait_incursion_tik_lzd_1	wh2_dlc12_effect_force_stat_melee_attack_attacking	general_to_force_own	5.0000
land_encounters_trait_incursion_tik_lzd_1	wh_main_effect_force_stat_leadership_attacking	general_to_force_own	6.0000
land_encounters_trait_incursion_tik_lzd_1	wh_main_effect_force_stat_speed	general_to_force_own	20.0000
land_encounters_trait_incursion_tik_lzd_1	wh_main_effect_force_stat_melee_attack	general_to_force_own	4.0000
land_encounters_trait_incursion_nak_lzd_1	wh_main_effect_force_stat_melee_attack	general_to_force_own	10.0000
land_encounters_trait_incursion_nak_lzd_1	wh_main_effect_force_stat_speed	general_to_force_own	10.0000
land_encounters_trait_incursion_nak_lzd_1	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	10.0000
land_encounters_trait_incursion_nak_lzd_1	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0000
land_encounters_trait_incursion_nak_lzd_1	wh2_main_effect_character_stat_enable_discourage_attacks	character_to_character_own	1.0000
land_encounters_trait_incursion_nak_lzd_1	wh_main_effect_attribute_enable_causes_terror	character_to_character_own	1.0000
land_encounters_trait_incursion_nak_lzd_1	wh_main_effect_attribute_enable_unbreakable	character_to_character_own	1.0000
land_encounters_trait_incursion_nak_lzd_1	wh_main_effect_ability_enable_stand_your_ground	character_to_character_own	1.0000
land_encounters_trait_incursion_nak_lzd_1	wh_main_effect_ability_enable_deadly_onslaught	character_to_character_own	1.0000
land_encounters_trait_incursion_nak_lzd_1	wh_main_effect_ability_enable_foe-seeker	character_to_character_own	1.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_enable_ghost_ship	character_to_character_own	1.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_overcast_ghost_ship	character_to_character_own	1.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_cooldown_ghost_ship	character_to_character_own	-80.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_miscast_ghost_ship	character_to_character_own	-15.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_wom_cost_ghost_ship	character_to_character_own	-7.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_enable_krakens_pull	character_to_character_own	1.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_overcast_krakens_pull	character_to_character_own	1.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_cooldown_krakens_pull	character_to_character_own	-70.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_miscast_krakens_pull	character_to_character_own	-15.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_wom_cost_krakens_pull	character_to_character_own	-3.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_wom_cost_krakens_pull_upgrade	character_to_character_own	-10.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_enable_kiss_of_the_deep	character_to_character_own	2.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_cooldown_denizens_of_the_deep	character_to_character_own	-30.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_enable_denizens_of_the_deep	character_to_character_own	1.0000
land_encounters_trait_incursion_adm_vco_1	wh2_dlc11_effect_ability_wom_cost_denizens_of_the_deep	character_to_character_own	-4.0000
land_encounters_trait_incursion_adm_vco_1	wh_main_effect_force_stat_missile_resistance	general_to_force_own	30.0000
land_encounters_trait_incursion_adm_vco_1	wh_main_effect_force_stat_range	general_to_force_own	15.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_cooldown_spiteful_shot	character_to_character_own	-80.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_miscast_spiteful_shot	character_to_character_own	-15.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_overcast_spiteful_shot	character_to_character_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_wom_cost_spiteful_shot	character_to_character_own	-2.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_wom_cost_spiteful_shot_upgrade	character_to_character_own	-4.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_enable_tidecall	character_to_character_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_cooldown_tidecall	character_to_character_own	-30.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_overcast_tidecall	character_to_character_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_miscast_tidecall	character_to_character_own	-15.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_wom_cost_tidecall	character_to_character_own	-3.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_wom_cost_tidecall_upgrade	character_to_character_own	-6.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_enable_kiss_of_the_deep	character_to_character_own	2.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_cooldown_denizens_of_the_deep	character_to_character_own	-30.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_enable_denizens_of_the_deep	character_to_character_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_wom_cost_denizens_of_the_deep	character_to_character_own	-6.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_enable_krakens_pull	character_to_character_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_cooldown_krakens_pull	character_to_character_own	-30.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_overcast_krakens_pull	character_to_character_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_miscast_krakens_pull	character_to_character_own	-15.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_wom_cost_krakens_pull	character_to_character_own	-3.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_wom_cost_krakens_pull_upgrade	character_to_character_own	-3.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_enable_ghost_ship	character_to_character_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_cooldown_ghost_ship	character_to_character_own	-30.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_overcast_ghost_ship	character_to_character_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_miscast_ghost_ship	character_to_character_own	-15.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_wom_cost_ghost_ship	character_to_character_own	-6.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_wom_cost_ghost_ship_upgrade	character_to_character_own	-10.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_enable_ghost_of_the_past_0	character_to_character_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_enable_ghost_of_the_past_1	character_to_character_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_enable_ghost_of_the_past_2	character_to_character_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_enable_beyond_the_realm	character_to_character_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_enable_ghost_of_the_past_3	character_to_character_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_enable_sacrilege	character_to_character_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_cooldown_overcast_spells	character_to_character_own	-20.0000
land_encounters_trait_incursion_cyl_vco_1	wh2_dlc11_effect_ability_wom_cost_overcast_deep_spells	character_to_character_own	-2.0000
land_encounters_trait_incursion_cyl_vco_1	wh_main_effect_character_stat_enable_magic_attacks	general_to_force_own	1.0000
land_encounters_trait_incursion_cyl_vco_1	wh_main_effect_force_stat_physical_resistance	general_to_force_own	5.0000
land_encounters_trait_surprise_bea_bst_1	wh_main_effect_character_stat_aura_leadership_effect	character_to_character_own	5.0000
land_encounters_trait_surprise_bea_bst_1	wh2_dlc11_effect_force_stat_leadership_ungor_gor_bestigor	general_to_force_own	6.0000
land_encounters_trait_surprise_bea_bst_1	wh2_dlc11_effect_force_stat_melee_defence_bst_ungor_gor_bestigor	general_to_force_own	6.0000
land_encounters_trait_surprise_bea_bst_1	wh2_dlc11_effect_force_stat_charge_bonus_add_bst_centigors_chariot	general_to_force_own	12.0000
land_encounters_trait_surprise_bea_bst_1	wh2_dlc11_effect_force_stat_weapon_strength_bst_centigors_chariot	general_to_force_own	12.0000
land_encounters_trait_surprise_bea_bst_1	wh2_dlc17_effect_skill_speed_increase_bst_centigors_chariot	general_to_force_own	12.0000
land_encounters_trait_surprise_bea_bst_1	wh2_dlc11_effect_force_stat_speed_ungor_raiders_centigors_throwing_axes	general_to_force_own	12.0000
land_encounters_trait_surprise_bea_bst_1	wh2_dlc17_effect_skill_reload_time_bst_ungor_raiders_centigors_throwing_axes_cygor	general_to_force_own	10.0000
land_encounters_trait_surprise_bea_bst_1	wh2_dlc11_effect_force_stat_charge_bonus_add_bst_warhounds_razorgor_herd_harpies	general_to_force_own	12.0000
land_encounters_trait_surprise_bea_bst_1	wh2_dlc11_effect_force_stat_melee_attack_warhounds_razorgor_herd_harpies	general_to_force_own	6.0000
land_encounters_trait_surprise_bea_bst_1	wh_main_effect_force_stat_leadership_enemy_unit	general_to_force_enemy_regionwide	-8.0000
land_encounters_trait_surprise_bea_bst_1	wh_main_effect_character_stat_armour	character_to_character_own	50.0000
land_encounters_trait_surprise_bea_bst_1	wh_main_effect_character_stat_melee_defence	character_to_character_own	10.0000
land_encounters_trait_surprise_bea_bst_1	wh_main_effect_ability_enable_stand_your_ground	character_to_character_own	1.0000
land_encounters_trait_surprise_bea_bst_1	wh_main_effect_ability_enable_deadly_onslaught	character_to_character_own	1.0000
land_encounters_trait_surprise_bea_bst_1	wh_main_effect_ability_enable_foe-seeker	character_to_character_own	1.0000
land_encounters_trait_surprise_mor_bst_1	wh2_dlc17_effect_ancillary_grant_morghur_blessing_1	character_to_character_own	1.0000
land_encounters_trait_surprise_mor_bst_1	wh2_dlc17_effect_contact_phase_touch_of_corruption	character_to_character_own	1.0000
land_encounters_trait_surprise_mor_bst_1	wh_dlc03_effect_ability_enable_primal_fury	character_to_character_own_armytext	5.0000
land_encounters_trait_surprise_mor_bst_1	wh2_dlc17_effect_ability_enable_horrible_regeneration_chaos_spawn	general_to_force_own	1.0000
land_encounters_trait_surprise_mor_bst_1	wh2_dlc17_effect_ability_upgrade_jabberslythe_aura	general_to_force_own	1.0000
land_encounters_trait_surprise_mor_bst_1	wh2_dlc17_effect_force_stat_melee_defence_increase_bst_centigor_chaosspawn_jabberslythe	general_to_force_own	8.0000
land_encounters_trait_surprise_mor_bst_1	wh2_dlc17_effect_force_stat_weapon_strength_increase_bst_centigor_chaosspawn_jabberslythe	general_to_force_own	15.0000
land_encounters_trait_surprise_mor_bst_1	wh2_dlc17_effect_force_army_campaign_attrition_despoiler_raiding_enemy	character_to_force_enemy_provincewide	33.0000
land_encounters_trait_surprise_mor_bst_1	wh_main_effect_force_all_campaign_raid_income	general_to_force_own	20.0000
land_encounters_trait_surprise_mor_bst_1	wh2_dlc17_effect_ability_enable_aura_of_vile_transmutation	character_to_character_own	8.0000
land_encounters_trait_surprise_mor_bst_1	wh_main_effect_force_stat_magic_resistance	general_to_force_own	20.0000
land_encounters_trait_surprise_mor_bst_1	wh_main_effect_ability_enable_deadly_onslaught	character_to_character_own	1.0000
land_encounters_trait_surprise_mor_bst_1	wh_main_effect_ability_enable_foe-seeker	character_to_character_own	1.0000
land_encounters_trait_surprise_kha_bst_1	wh2_dlc17_effect_attribute_stalk_khazrak_focus_units	general_to_force_own	1.0000
land_encounters_trait_surprise_kha_bst_1	wh_main_effect_attribute_enable_strider	general_to_force_own	1.0000
land_encounters_trait_surprise_kha_bst_1	wh_main_effect_force_stat_vigour_loss_reduction	general_to_force_own	-50.0000
land_encounters_trait_surprise_kha_bst_1	wh2_dlc17_effect_poison_attacks_ungors	general_to_force_own	1.0000
land_encounters_trait_surprise_kha_bst_1	wh_main_effect_force_stat_physical_resistance	general_to_force_own	10.0000
land_encounters_trait_surprise_kha_bst_1	wh_main_effect_force_stat_melee_attack	general_to_force_own	8.0000
land_encounters_trait_surprise_kha_bst_1	wh_main_effect_force_stat_speed	general_to_force_own	12.0000
land_encounters_trait_surprise_kha_bst_1	wh_main_effect_character_stat_melee_attack	character_to_character_own	12.0000
land_encounters_trait_surprise_kha_bst_1	wh_main_effect_character_stat_armour	character_to_character_own	30.0000
land_encounters_trait_surprise_kha_bst_1	wh_main_effect_character_stat_melee_defence	character_to_character_own	12.0000
land_encounters_trait_surprise_kha_bst_1	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000
land_encounters_trait_surprise_kha_bst_1	wh_dlc03_effect_ability_enable_blood_lust	character_to_character_own	1.0000
land_encounters_trait_surprise_msa_skv_1	wh_main_effect_force_stat_range	general_to_force_own	10.0000
land_encounters_trait_surprise_msa_skv_1	wh_main_effect_force_stat_missile_damage	general_to_force_own	12.0000
land_encounters_trait_surprise_msa_skv_1	wh_main_effect_ability_enable_slippery	character_to_character_own	1.0000
land_encounters_trait_surprise_msa_skv_1	wh_main_effect_character_stat_weapon_strength	character_to_character_own	30.0000
land_encounters_trait_surprise_msa_skv_1	wh_main_effect_character_stat_unit_health	character_to_character_own	15.0000
land_encounters_trait_surprise_msa_skv_1	wh_main_effect_character_stat_missile_damage	character_to_character_own	15.0000
land_encounters_trait_surprise_msa_skv_1	wh_main_effect_character_stat_melee_attack	character_to_character_own	12.0000
land_encounters_trait_surprise_msa_skv_1	wh_main_effect_ability_enable_deadly_onslaught	character_to_character_own	1.0000
